Estacion,Dia_Semana,Hora_Dia,Clima,Torniquetes_Activos,Retraso_Operativo_Min,Pasajeros_Hora,Tiempo_Espera_Min,Nivel_Congestion
Principe de Vergara,Viernes,13,Soleado,6,5,481,7.2,Media
Principe Pio,Lunes,19,Soleado,3,0,1394,5.7,Alta
Principe Pio,Viernes,19,Lluvia,3,5,1582,15.1,Alta
Principe de Vergara,Viernes,20,Tormenta,6,0,482,5.2,Media
Embajadores,Sabado,9,Nublado,3,10,443,14.1,Alta
Plaza de Espana,Jueves,7,Nublado,6,0,1134,5.0,Media
Banco de Espana,Sabado,10,Soleado,2,0,484,2.1,Baja
Principe Pio,Martes,11,Soleado,4,0,284,3.0,Baja
Goya,Jueves,12,Tormenta,8,0,486,6.2,Media
Principe de Vergara,Domingo,5,Lluvia,5,20,289,25.7,Alta
Bilbao,Miercoles,20,Soleado,8,20,546,24.7,Alta
Bilbao,Martes,18,Tormenta,4,0,810,8.8,Media
Sevilla,Domingo,6,Nublado,4,0,587,4.9,Baja
Tribunal,Viernes,7,Tormenta,9,0,796,8.1,Media
Tribunal,Lunes,19,Soleado,5,0,1090,4.8,Media
Gran Via,Martes,14,Soleado,6,10,588,12.1,Alta
Lago,Jueves,7,Soleado,6,0,1525,4.9,Alta
Noviciado,Viernes,11,Soleado,7,0,407,3.3,Baja
Principe Pio,Sabado,22,Soleado,5,0,479,3.8,Baja
Noviciado,Jueves,23,Nublado,9,0,692,2.2,Media
Banco de Espana,Jueves,20,Tormenta,6,0,266,6.9,Media
Principe Pio,Martes,20,Soleado,9,0,537,3.6,Baja
Callao,Domingo,7,Soleado,5,0,426,2.2,Baja
Principe de Vergara,Miercoles,13,Tormenta,2,5,639,11.1,Alta
Noviciado,Lunes,19,Nublado,4,0,1049,6.6,Media
Goya,Domingo,13,Lluvia,2,0,410,6.2,Media
Tribunal,Lunes,5,Nublado,9,0,686,4.2,Media
Noviciado,Viernes,9,Nublado,8,0,963,3.0,Media
Plaza de Espana,Lunes,20,Soleado,2,0,672,2.2,Media
Callao,Sabado,17,Nublado,5,5,582,9.7,Media
Retiro,Martes,14,Tormenta,6,0,475,6.7,Media
Atocha,Lunes,21,Nublado,8,5,548,7.6,Media
Lago,Sabado,22,Nublado,8,0,741,4.1,Media
Bilbao,Sabado,16,Soleado,8,0,739,3.6,Media
Principe Pio,Jueves,20,Soleado,4,0,221,2.4,Baja
Quevedo,Miercoles,15,Tormenta,5,0,245,7.2,Media
Alonso Martinez,Jueves,17,Tormenta,7,0,895,6.5,Media
Alonso Martinez,Domingo,12,Lluvia,10,0,452,6.3,Media
Banco de Espana,Viernes,7,Nublado,7,0,1433,4.1,Alta
Principe de Vergara,Sabado,10,Tormenta,7,0,515,5.1,Media
Tribunal,Miercoles,6,Soleado,10,0,410,2.9,Baja
Embajadores,Martes,22,Soleado,2,0,619,2.8,Media
Gran Via,Martes,6,Soleado,9,0,454,5.0,Baja
Embajadores,Domingo,7,Tormenta,3,0,157,8.2,Media
Quevedo,Sabado,17,Soleado,2,0,392,3.4,Baja
Opera,Lunes,5,Soleado,10,0,525,2.5,Baja
Principe de Vergara,Martes,18,Lluvia,2,10,1499,18.1,Alta
Opera,Viernes,9,Nublado,10,5,1511,7.7,Alta
Opera,Martes,10,Lluvia,4,0,520,5.9,Media
Callao,Miercoles,5,Soleado,5,5,562,9.0,Media
Plaza de Espana,Viernes,6,Soleado,3,0,449,3.9,Baja
Goya,Lunes,7,Nublado,3,0,1354,9.0,Alta
Atocha,Viernes,11,Lluvia,9,20,427,26.0,Alta
Opera,Sabado,19,Soleado,4,10,624,12.9,Alta
Anton Martin,Martes,10,Tormenta,6,0,467,5.9,Media
Retiro,Viernes,18,Lluvia,6,0,1583,6.9,Alta
Sevilla,Domingo,11,Tormenta,10,0,434,3.5,Baja
Sevilla,Sabado,11,Tormenta,6,0,207,5.9,Media
Principe de Vergara,Lunes,23,Soleado,5,0,187,3.0,Baja
Tribunal,Jueves,7,Soleado,8,0,1885,2.7,Alta
Atocha,Sabado,14,Nublado,4,0,439,2.8,Baja
Bilbao,Jueves,19,Nublado,9,0,1420,2.4,Alta
Embajadores,Jueves,22,Soleado,4,0,577,4.3,Baja
Principe de Vergara,Lunes,7,Lluvia,4,0,1524,11.3,Alta
Sevilla,Martes,11,Soleado,8,0,567,2.6,Baja
Retiro,Lunes,9,Tormenta,7,0,1658,7.9,Alta
Noviciado,Lunes,10,Lluvia,4,0,537,7.3,Media
Goya,Jueves,10,Lluvia,9,10,191,15.9,Alta
Embajadores,Sabado,17,Nublado,8,0,512,4.4,Baja
Anton Martin,Miercoles,9,Tormenta,6,0,1128,6.7,Media
Alonso Martinez,Domingo,15,Lluvia,3,0,370,4.6,Baja
Principe Pio,Viernes,15,Lluvia,3,0,447,7.5,Media
Alonso Martinez,Lunes,9,Lluvia,3,0,977,9.2,Media
Lago,Martes,7,Nublado,9,0,1691,2.6,Alta
Opera,Lunes,6,Soleado,7,0,467,5.0,Baja
Goya,Lunes,5,Nublado,3,0,392,4.9,Baja
Sol,Lunes,21,Nublado,4,10,467,13.2,Alta
Banco de Espana,Domingo,14,Lluvia,5,0,588,4.0,Baja
Goya,Lunes,5,Nublado,10,0,421,3.5,Baja
Principe Pio,Lunes,11,Lluvia,8,0,760,4.9,Media
Callao,Sabado,20,Soleado,8,0,684,3.2,Media
Sol,Domingo,18,Tormenta,6,0,411,4.4,Baja
Banco de Espana,Lunes,9,Tormenta,3,0,856,9.3,Media
Quevedo,Domingo,5,Tormenta,9,0,379,5.6,Media
Principe Pio,Miercoles,16,Soleado,9,0,581,4.3,Baja
Principe Pio,Sabado,14,Tormenta,7,0,517,7.0,Media
Goya,Miercoles,9,Tormenta,6,0,1337,6.6,Alta
Tribunal,Miercoles,12,Lluvia,7,0,624,6.1,Media
Anton Martin,Jueves,19,Tormenta,9,0,1727,4.9,Alta
Tribunal,Miercoles,15,Tormenta,10,0,409,7.7,Media
Alonso Martinez,Martes,8,Lluvia,9,10,1790,13.9,Alta
Sol,Sabado,18,Soleado,4,0,320,2.5,Baja
Bilbao,Sabado,8,Soleado,10,5,421,8.2,Media
Embajadores,Lunes,15,Lluvia,5,0,317,4.9,Baja
Retiro,Sabado,19,Tormenta,10,0,185,6.7,Media
Sevilla,Domingo,5,Nublado,3,0,447,3.4,Baja
Principe de Vergara,Sabado,17,Tormenta,7,10,462,17.1,Alta
Noviciado,Martes,7,Nublado,5,0,755,4.4,Media
Quevedo,Viernes,22,Nublado,5,5,541,7.1,Media
Embajadores,Lunes,21,Nublado,2,0,247,2.5,Baja
Embajadores,Viernes,13,Soleado,8,0,535,3.5,Baja
Anton Martin,Sabado,19,Soleado,2,0,671,3.3,Media
Plaza de Espana,Miercoles,15,Tormenta,10,0,475,6.2,Media
Principe Pio,Martes,14,Tormenta,9,0,357,6.5,Media
Sol,Sabado,5,Nublado,9,0,776,3.1,Media
Banco de Espana,Jueves,13,Soleado,5,0,492,3.0,Baja
Embajadores,Lunes,6,Tormenta,10,0,585,3.9,Baja
Principe Pio,Jueves,16,Nublado,7,0,306,3.3,Baja
Retiro,Miercoles,17,Tormenta,9,0,1335,5.6,Alta
Anton Martin,Miercoles,22,Nublado,2,0,313,3.6,Baja
Atocha,Domingo,18,Soleado,8,0,448,3.6,Baja
Plaza de Espana,Miercoles,14,Nublado,5,0,401,3.8,Baja
Plaza de Espana,Jueves,20,Nublado,10,0,670,4.4,Media
Atocha,Lunes,16,Tormenta,6,10,202,15.8,Alta
Lago,Sabado,20,Lluvia,8,5,543,12.0,Alta
Callao,Viernes,11,Nublado,5,0,478,2.1,Baja
Banco de Espana,Miercoles,21,Nublado,9,0,365,3.8,Baja
Retiro,Viernes,8,Nublado,3,0,1295,8.1,Alta
Plaza de Espana,Domingo,18,Soleado,4,0,422,2.8,Baja
Sol,Jueves,9,Tormenta,10,0,1637,3.7,Alta
Plaza de Espana,Miercoles,12,Nublado,3,0,505,2.5,Baja
Bilbao,Viernes,16,Nublado,3,0,382,4.0,Baja
Plaza de Espana,Domingo,14,Lluvia,5,0,389,7.1,Media
Banco de Espana,Viernes,11,Tormenta,8,0,558,7.2,Media
Bilbao,Viernes,18,Tormenta,6,10,1195,16.4,Alta
Tribunal,Miercoles,12,Tormenta,10,0,360,4.7,Baja
Bilbao,Domingo,20,Tormenta,9,0,421,6.6,Media
Principe de Vergara,Viernes,14,Nublado,3,0,668,4.9,Media
Banco de Espana,Martes,16,Lluvia,4,0,416,6.9,Media
Sevilla,Lunes,22,Soleado,8,5,573,8.4,Media
Tribunal,Viernes,7,Lluvia,5,0,1021,6.5,Media
Atocha,Viernes,7,Soleado,10,0,1377,3.5,Alta
Retiro,Lunes,18,Tormenta,9,0,884,5.4,Media
Principe de Vergara,Lunes,20,Lluvia,7,0,716,7.6,Media
Noviciado,Sabado,16,Soleado,4,0,465,3.7,Baja
Plaza de Espana,Viernes,10,Nublado,3,0,630,4.7,Media
Atocha,Jueves,15,Lluvia,2,0,294,6.4,Media
Bilbao,Lunes,9,Nublado,3,0,1227,4.8,Alta
Noviciado,Martes,7,Lluvia,8,10,1019,18.6,Alta
Gran Via,Lunes,9,Soleado,8,0,1265,2.3,Alta
Lago,Jueves,17,Soleado,7,0,1728,4.6,Alta
Tribunal,Martes,18,Soleado,10,0,1852,2.7,Alta
Sol,Jueves,20,Lluvia,10,0,652,5.8,Media
Plaza de Espana,Lunes,9,Soleado,9,0,988,3.2,Media
Atocha,Domingo,8,Tormenta,3,5,538,9.5,Media
Callao,Lunes,17,Nublado,10,0,1596,3.5,Alta
Noviciado,Lunes,23,Nublado,4,0,627,2.5,Media
Principe de Vergara,Martes,6,Soleado,9,10,456,13.7,Alta
Retiro,Miercoles,13,Soleado,5,0,421,2.7,Baja
Principe de Vergara,Martes,5,Lluvia,10,0,495,7.0,Media
Anton Martin,Viernes,19,Soleado,2,0,1779,6.1,Alta
Callao,Sabado,19,Nublado,9,0,359,4.4,Baja
Banco de Espana,Martes,14,Nublado,8,0,296,2.4,Baja
Sevilla,Lunes,16,Lluvia,6,0,333,5.4,Media
Quevedo,Domingo,9,Tormenta,4,0,434,7.6,Media
Anton Martin,Domingo,10,Nublado,10,0,545,4.8,Baja
Anton Martin,Martes,21,Tormenta,7,0,374,6.9,Media
Opera,Domingo,17,Lluvia,9,0,483,5.2,Media
Alonso Martinez,Miercoles,12,Nublado,6,0,392,4.0,Baja
Alonso Martinez,Miercoles,18,Tormenta,3,0,1087,6.4,Media
Principe de Vergara,Viernes,9,Lluvia,8,0,1163,5.7,Media
Callao,Martes,8,Nublado,4,0,1163,7.9,Media
Noviciado,Martes,21,Soleado,3,0,469,4.8,Baja
Bilbao,Miercoles,7,Soleado,6,0,1594,3.5,Alta
Lago,Sabado,16,Lluvia,5,0,531,5.8,Media
Atocha,Sabado,10,Tormenta,7,0,441,4.7,Baja
Quevedo,Domingo,21,Tormenta,6,0,567,6.1,Media
Tribunal,Jueves,6,Tormenta,2,0,192,5.3,Media
Retiro,Miercoles,20,Tormenta,7,0,566,5.4,Media
Quevedo,Domingo,17,Tormenta,8,5,429,10.7,Alta
Atocha,Viernes,18,Lluvia,8,0,1467,7.0,Alta
Plaza de Espana,Martes,5,Tormenta,2,0,295,7.6,Media
Banco de Espana,Jueves,10,Soleado,2,0,430,2.5,Baja
Embajadores,Jueves,11,Soleado,10,0,515,3.8,Baja
Alonso Martinez,Domingo,12,Lluvia,7,0,250,5.1,Media
Opera,Miercoles,9,Nublado,7,0,1494,3.3,Alta
Atocha,Viernes,5,Nublado,2,0,551,2.2,Baja
Retiro,Martes,16,Soleado,4,0,757,3.6,Media
Noviciado,Miercoles,11,Tormenta,6,0,384,5.9,Media
Principe Pio,Jueves,8,Tormenta,7,0,1155,7.7,Media
Lago,Lunes,13,Soleado,6,0,291,3.3,Baja
Noviciado,Miercoles,7,Soleado,6,0,1490,4.4,Alta
Principe de Vergara,Miercoles,7,Soleado,10,0,1497,4.6,Alta
Goya,Miercoles,17,Nublado,8,0,1133,2.3,Media
Noviciado,Sabado,23,Nublado,10,0,432,3.9,Baja
Embajadores,Jueves,12,Soleado,6,0,651,3.8,Media
Principe de Vergara,Jueves,8,Lluvia,10,0,1610,4.8,Alta
Retiro,Sabado,9,Tormenta,7,0,529,6.4,Media
Noviciado,Lunes,10,Tormenta,3,10,510,16.5,Alta
Bilbao,Lunes,7,Tormenta,5,0,1838,5.6,Alta
Atocha,Viernes,20,Tormenta,9,0,133,5.2,Media
Gran Via,Lunes,9,Nublado,2,0,1399,6.8,Alta
Embajadores,Domingo,12,Lluvia,2,0,282,6.4,Media
Gran Via,Sabado,23,Soleado,5,0,411,2.9,Baja
Banco de Espana,Lunes,6,Tormenta,2,0,373,7.8,Media
Atocha,Domingo,23,Tormenta,2,0,520,6.6,Media
Banco de Espana,Jueves,23,Tormenta,4,0,418,5.1,Media
Embajadores,Jueves,19,Nublado,8,0,1585,2.4,Alta
Opera,Lunes,18,Nublado,9,0,1054,2.6,Media
Embajadores,Viernes,16,Lluvia,2,0,618,6.1,Media
Embajadores,Sabado,22,Lluvia,2,0,576,5.0,Baja
Lago,Viernes,12,Tormenta,7,0,535,4.5,Baja
Quevedo,Sabado,12,Lluvia,9,0,685,7.2,Media
Embajadores,Jueves,21,Soleado,3,5,404,7.8,Media
Principe Pio,Viernes,11,Nublado,3,0,456,3.5,Baja
Noviciado,Sabado,8,Lluvia,10,0,442,5.3,Media
Opera,Jueves,11,Soleado,6,0,189,2.4,Baja
Retiro,Miercoles,10,Soleado,3,0,145,2.7,Baja
Noviciado,Domingo,14,Soleado,9,0,510,2.3,Baja
Lago,Viernes,14,Lluvia,2,0,619,4.4,Media
Noviciado,Lunes,7,Lluvia,4,0,1335,13.3,Alta
Opera,Jueves,8,Tormenta,6,0,880,4.5,Media
Anton Martin,Sabado,8,Soleado,8,0,440,4.5,Baja
Goya,Sabado,6,Tormenta,8,0,673,6.7,Media
Callao,Lunes,18,Soleado,3,0,1077,6.2,Media
Goya,Lunes,22,Tormenta,10,20,482,27.2,Alta
Alonso Martinez,Martes,9,Tormenta,4,0,1517,11.5,Alta
Goya,Miercoles,13,Nublado,4,10,414,13.4,Alta
Tribunal,Jueves,13,Lluvia,2,0,527,5.2,Media
Lago,Miercoles,20,Tormenta,6,0,466,6.8,Media
Noviciado,Viernes,11,Nublado,10,0,393,2.2,Baja
Lago,Martes,10,Nublado,7,5,721,7.0,Media
Noviciado,Viernes,22,Tormenta,10,0,182,5.4,Media
Banco de Espana,Lunes,23,Tormenta,9,0,515,6.6,Media
Callao,Sabado,12,Soleado,5,0,281,4.0,Baja
Embajadores,Domingo,12,Lluvia,7,5,305,9.6,Media
Callao,Martes,23,Lluvia,3,0,499,8.8,Media
Principe de Vergara,Lunes,10,Lluvia,9,0,302,7.6,Media
Opera,Jueves,20,Soleado,8,0,510,4.8,Baja
Banco de Espana,Jueves,16,Tormenta,3,0,410,5.1,Media
Principe de Vergara,Martes,23,Tormenta,5,0,622,6.1,Media
Plaza de Espana,Miercoles,20,Nublado,3,0,596,3.2,Baja
Lago,Miercoles,6,Nublado,7,0,655,3.5,Media
Gran Via,Domingo,8,Tormenta,5,0,442,4.7,Baja
Noviciado,Lunes,9,Soleado,10,0,650,4.8,Media
Principe de Vergara,Jueves,10,Nublado,2,0,280,2.5,Baja
Lago,Jueves,17,Tormenta,10,0,1012,6.0,Media
Sol,Miercoles,14,Lluvia,9,5,232,13.5,Alta
Principe Pio,Domingo,17,Nublado,7,0,514,2.8,Baja
Sol,Sabado,22,Nublado,5,0,367,4.9,Baja
Callao,Jueves,17,Lluvia,5,0,1138,6.1,Media
Principe de Vergara,Jueves,23,Tormenta,10,20,664,26.6,Alta
Bilbao,Miercoles,17,Lluvia,3,5,727,13.2,Alta
Retiro,Domingo,9,Tormenta,7,5,770,10.9,Alta
Gran Via,Domingo,14,Nublado,6,0,333,3.0,Baja
Lago,Martes,5,Tormenta,4,0,536,6.6,Media
Opera,Jueves,11,Tormenta,2,0,620,5.5,Media
Sol,Lunes,9,Nublado,6,0,1640,3.7,Alta
Anton Martin,Lunes,9,Soleado,4,0,1394,7.4,Alta
Noviciado,Viernes,11,Soleado,5,0,411,4.4,Baja
Retiro,Jueves,12,Tormenta,2,10,681,18.1,Alta
Callao,Martes,10,Nublado,2,0,413,3.9,Baja
Goya,Sabado,7,Nublado,8,0,495,2.7,Baja
Principe Pio,Martes,11,Lluvia,8,10,314,16.2,Alta
Principe Pio,Viernes,15,Soleado,9,0,358,4.7,Baja
Sol,Viernes,23,Lluvia,7,0,597,6.5,Media
Embajadores,Sabado,15,Nublado,3,0,331,3.8,Baja
Plaza de Espana,Miercoles,15,Nublado,3,0,367,4.8,Baja
Embajadores,Miercoles,19,Nublado,6,0,1225,3.2,Alta
Noviciado,Lunes,14,Soleado,7,0,336,4.6,Baja
Plaza de Espana,Domingo,14,Nublado,2,0,364,2.3,Baja
Bilbao,Sabado,21,Soleado,10,0,677,4.8,Media
Goya,Jueves,21,Soleado,8,0,635,3.5,Media
Embajadores,Domingo,8,Tormenta,7,0,460,5.9,Media
Principe de Vergara,Domingo,11,Lluvia,6,0,561,4.5,Baja
Banco de Espana,Miercoles,22,Lluvia,10,0,693,6.4,Media
Bilbao,Martes,16,Nublado,8,0,435,3.2,Baja
Noviciado,Miercoles,16,Soleado,8,0,399,3.3,Baja
Sevilla,Viernes,7,Lluvia,6,5,1244,9.2,Alta
Embajadores,Lunes,10,Soleado,6,0,284,2.4,Baja
Plaza de Espana,Jueves,11,Tormenta,10,0,255,4.8,Baja
Callao,Lunes,12,Tormenta,4,0,417,5.7,Media
Gran Via,Miercoles,12,Soleado,9,0,289,3.0,Baja
Sevilla,Viernes,19,Lluvia,9,0,1139,7.3,Media
Opera,Viernes,5,Lluvia,5,0,643,4.1,Media
Bilbao,Sabado,23,Tormenta,3,0,283,5.8,Media
Goya,Sabado,13,Soleado,4,10,512,13.8,Alta
Tribunal,Miercoles,15,Nublado,7,0,466,3.8,Baja
Embajadores,Viernes,11,Lluvia,4,0,544,7.7,Media
Quevedo,Domingo,6,Tormenta,5,0,465,6.7,Media
Banco de Espana,Martes,5,Lluvia,3,0,260,6.9,Media
Embajadores,Miercoles,19,Nublado,3,0,1715,7.5,Alta
Gran Via,Jueves,11,Soleado,4,0,197,2.1,Baja
Embajadores,Viernes,9,Lluvia,4,0,1024,11.6,Alta
Gran Via,Jueves,12,Tormenta,8,0,453,6.6,Media
Alonso Martinez,Viernes,18,Nublado,6,0,817,4.2,Media
Quevedo,Lunes,11,Lluvia,3,0,501,4.2,Baja
Gran Via,Jueves,21,Tormenta,4,0,557,5.9,Media
Plaza de Espana,Martes,17,Soleado,8,0,902,4.5,Media
Noviciado,Jueves,8,Tormenta,6,5,1307,12.6,Alta
Tribunal,Jueves,5,Soleado,2,5,384,7.5,Media
Principe Pio,Miercoles,6,Lluvia,2,0,512,5.2,Media
Quevedo,Lunes,22,Soleado,4,0,285,3.4,Baja
Lago,Martes,18,Nublado,6,0,1301,4.9,Alta
Plaza de Espana,Lunes,22,Lluvia,3,0,327,6.2,Media
Anton Martin,Lunes,18,Lluvia,5,0,938,6.0,Media
Plaza de Espana,Viernes,16,Tormenta,8,0,316,5.8,Media
Opera,Sabado,18,Tormenta,8,0,650,4.0,Media
Principe Pio,Sabado,17,Nublado,3,0,223,4.9,Baja
Sevilla,Jueves,15,Tormenta,3,0,438,6.6,Media
Plaza de Espana,Martes,6,Tormenta,7,0,400,8.7,Media
Tribunal,Miercoles,8,Tormenta,5,0,1371,8.5,Alta
Anton Martin,Jueves,16,Soleado,7,0,476,4.9,Baja
Plaza de Espana,Domingo,12,Soleado,2,0,488,4.4,Baja
Principe de Vergara,Lunes,10,Soleado,5,0,558,2.7,Baja
Principe de Vergara,Miercoles,17,Nublado,10,0,901,3.0,Media
Alonso Martinez,Miercoles,5,Nublado,6,0,404,4.2,Baja
Gran Via,Viernes,12,Soleado,5,0,365,3.4,Baja
Tribunal,Viernes,6,Nublado,10,0,451,4.4,Baja
Callao,Viernes,14,Tormenta,6,0,628,5.8,Media
Bilbao,Domingo,5,Nublado,4,0,442,4.4,Baja
Bilbao,Viernes,6,Tormenta,4,0,466,6.7,Media
Atocha,Viernes,12,Tormenta,9,0,489,6.2,Media
Plaza de Espana,Lunes,14,Nublado,9,0,409,4.2,Baja
Principe de Vergara,Jueves,8,Lluvia,6,0,1157,5.2,Media
Sevilla,Sabado,5,Nublado,7,0,517,3.3,Baja
Sol,Sabado,14,Nublado,6,0,302,4.6,Baja
Goya,Viernes,9,Lluvia,4,0,1724,8.7,Alta
Sevilla,Martes,12,Soleado,3,5,298,9.7,Media
Tribunal,Viernes,10,Nublado,9,0,443,2.5,Baja
Sol,Viernes,11,Nublado,6,20,207,22.8,Alta
Opera,Martes,14,Lluvia,8,0,431,6.2,Media
Anton Martin,Domingo,14,Lluvia,4,5,609,10.9,Alta
Anton Martin,Jueves,13,Soleado,8,20,252,24.4,Alta
Anton Martin,Miercoles,18,Nublado,10,0,1558,3.8,Alta
Banco de Espana,Sabado,5,Soleado,3,20,638,23.5,Alta
Lago,Domingo,23,Tormenta,5,5,616,12.6,Alta
Principe Pio,Sabado,23,Nublado,7,0,609,4.5,Media
Anton Martin,Jueves,16,Tormenta,9,0,325,7.7,Media
Callao,Domingo,6,Soleado,6,0,249,3.2,Baja
Embajadores,Jueves,20,Tormenta,3,5,225,10.5,Alta
Sevilla,Domingo,5,Soleado,4,0,387,4.8,Baja
Anton Martin,Jueves,12,Soleado,6,0,652,4.7,Media
Banco de Espana,Domingo,19,Soleado,10,5,570,7.3,Media
Principe Pio,Viernes,20,Tormenta,10,0,605,6.4,Media
Opera,Viernes,20,Nublado,2,10,261,14.5,Alta
Principe de Vergara,Lunes,12,Tormenta,5,0,495,4.1,Baja
Lago,Viernes,6,Tormenta,6,0,220,8.9,Media
Gran Via,Jueves,9,Tormenta,5,0,786,4.4,Media
Callao,Lunes,19,Nublado,6,0,1292,3.0,Alta
Noviciado,Jueves,7,Lluvia,9,0,1102,5.0,Media
Alonso Martinez,Martes,23,Lluvia,10,0,614,6.2,Media
Banco de Espana,Domingo,17,Nublado,2,0,318,4.5,Baja
Quevedo,Jueves,16,Soleado,4,0,386,4.9,Baja
Embajadores,Sabado,9,Soleado,9,0,462,3.5,Baja
Tribunal,Sabado,12,Tormenta,7,0,365,6.2,Media
Sevilla,Lunes,21,Soleado,2,0,687,4.7,Media
Bilbao,Miercoles,5,Tormenta,6,0,520,6.1,Media
Noviciado,Miercoles,16,Nublado,4,0,418,4.3,Baja
Principe de Vergara,Lunes,17,Soleado,4,0,932,4.5,Media
Principe de Vergara,Lunes,9,Soleado,4,0,1232,8.3,Alta
Principe Pio,Jueves,7,Lluvia,6,0,874,6.7,Media
Embajadores,Jueves,10,Tormenta,8,0,475,5.8,Media
Banco de Espana,Martes,18,Tormenta,10,0,835,5.9,Media
Callao,Miercoles,10,Nublado,6,0,513,3.5,Baja
Bilbao,Jueves,5,Tormenta,8,0,317,6.1,Media
Principe Pio,Jueves,19,Soleado,8,0,1940,2.7,Alta
Retiro,Miercoles,7,Soleado,9,10,854,13.0,Alta
Banco de Espana,Domingo,17,Soleado,3,0,365,4.9,Baja
Noviciado,Martes,8,Lluvia,3,0,1533,11.0,Alta
Noviciado,Lunes,14,Lluvia,6,5,320,12.5,Alta
Quevedo,Lunes,6,Nublado,10,0,717,2.0,Media
Alonso Martinez,Sabado,21,Soleado,9,0,651,4.2,Media
Sevilla,Lunes,8,Nublado,7,0,1549,3.7,Alta
Quevedo,Lunes,6,Lluvia,6,0,342,6.7,Media
Embajadores,Viernes,19,Tormenta,2,0,1377,6.5,Alta
Banco de Espana,Jueves,22,Soleado,8,0,349,3.0,Baja
Quevedo,Lunes,12,Lluvia,4,0,368,5.2,Media
Callao,Lunes,22,Nublado,9,0,630,2.3,Media
Principe Pio,Miercoles,22,Soleado,3,0,266,4.3,Baja
Principe Pio,Jueves,17,Nublado,8,0,1309,3.1,Alta
Noviciado,Jueves,19,Lluvia,8,0,1049,7.1,Media
Sevilla,Miercoles,13,Nublado,5,0,385,3.4,Baja
Quevedo,Martes,20,Nublado,7,0,656,3.9,Media
Tribunal,Lunes,11,Nublado,6,5,186,8.6,Media
Retiro,Lunes,10,Soleado,6,0,424,2.4,Baja
Tribunal,Martes,9,Lluvia,7,0,1692,5.7,Alta
Bilbao,Martes,17,Nublado,2,0,1561,4.3,Alta
Tribunal,Jueves,17,Tormenta,3,0,1065,9.1,Media
Bilbao,Martes,9,Soleado,4,0,1187,5.9,Media
Principe de Vergara,Lunes,19,Lluvia,8,0,1349,5.2,Alta
Alonso Martinez,Domingo,19,Tormenta,4,10,520,14.9,Alta
Tribunal,Jueves,15,Nublado,6,0,312,4.5,Baja
Bilbao,Domingo,15,Tormenta,3,0,409,6.4,Media
Tribunal,Sabado,8,Tormenta,10,20,284,26.1,Alta
Alonso Martinez,Miercoles,14,Nublado,8,0,528,2.3,Baja
Banco de Espana,Domingo,8,Tormenta,8,0,479,5.8,Media
Retiro,Domingo,21,Soleado,3,0,500,4.7,Baja
Atocha,Sabado,16,Nublado,8,20,579,24.7,Alta
Gran Via,Sabado,12,Soleado,10,10,516,13.3,Alta
Embajadores,Lunes,9,Lluvia,9,0,1643,5.8,Alta
Principe de Vergara,Sabado,5,Lluvia,3,0,605,5.8,Media
Alonso Martinez,Martes,8,Lluvia,8,0,768,7.0,Media
Principe Pio,Sabado,13,Soleado,2,0,291,4.3,Baja
Anton Martin,Domingo,16,Soleado,5,10,213,13.5,Alta
Atocha,Jueves,11,Soleado,4,0,702,2.1,Media
Goya,Miercoles,11,Nublado,4,0,651,3.9,Media
Goya,Jueves,16,Lluvia,7,10,288,18.0,Alta
Sevilla,Domingo,6,Tormenta,6,0,170,7.3,Media
Sol,Jueves,13,Soleado,2,0,574,4.1,Baja
Bilbao,Sabado,14,Soleado,10,0,420,2.6,Baja
Retiro,Sabado,23,Tormenta,6,0,151,7.0,Media
Quevedo,Domingo,21,Nublado,2,0,460,2.5,Baja
Banco de Espana,Martes,6,Soleado,10,0,563,2.4,Baja
Embajadores,Jueves,6,Lluvia,10,0,251,5.1,Media
Atocha,Martes,19,Tormenta,6,0,1656,4.8,Alta
Principe Pio,Martes,16,Tormenta,3,0,486,6.3,Media
Embajadores,Miercoles,8,Soleado,7,5,1014,7.2,Media
Anton Martin,Martes,15,Tormenta,5,0,365,8.7,Media
Sol,Viernes,18,Soleado,2,0,1062,7.6,Media
Principe de Vergara,Sabado,8,Soleado,8,0,641,2.3,Media
Retiro,Sabado,14,Tormenta,10,0,330,4.9,Baja
Callao,Viernes,9,Soleado,2,0,1842,6.9,Alta
Retiro,Jueves,13,Soleado,4,0,195,4.8,Baja
Anton Martin,Martes,18,Soleado,3,0,1361,4.8,Alta
Plaza de Espana,Sabado,7,Tormenta,3,0,553,6.5,Media
Sol,Sabado,22,Soleado,5,5,277,9.8,Media
Bilbao,Sabado,13,Tormenta,7,0,598,6.0,Media
Opera,Miercoles,11,Lluvia,4,0,301,6.0,Media
Sol,Martes,10,Lluvia,10,0,428,4.5,Baja
Atocha,Domingo,13,Tormenta,8,0,615,8.0,Media
Embajadores,Lunes,5,Nublado,10,0,466,2.1,Baja
Noviciado,Sabado,14,Soleado,10,0,405,3.5,Baja
Alonso Martinez,Domingo,17,Lluvia,5,0,403,5.4,Media
Anton Martin,Viernes,14,Soleado,2,10,604,13.7,Alta
Bilbao,Sabado,9,Tormenta,8,0,219,6.7,Media
Quevedo,Viernes,9,Soleado,9,0,1247,3.4,Alta
Principe Pio,Viernes,5,Lluvia,4,0,275,5.2,Media
